,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
258,06M008,P.S. 008 Luis Belliard,,,0,,,,
259,06M018,P.S. 018 Park Terrace,81,127,157,7.5,6.7,7.6,7.9
260,06M028,P.S. 028 Wright Brothers,,,0,,,,
261,06M048,P.S. 048 P.O. Michael J. Buczek,,,0,,,,
262,06M052,J.H.S. 052 Inwood,98,704,717,7,6.1,7,7.6
263,06M098,P.S. 098 Shorac Kappock,,,0,,,,
264,06M115,P.S. 115 Alexander Humboldt,,,0,,,,
265,06M128,P.S. 128 Audubon,,,0,,,,
266,06M132,P.S. 132 Juan Pablo Duarte,,,0,,,,
267,06M143,J.H.S. 143 Eleanor Roosevelt,97,649,668,6.7,6.2,7.1,7.8
268,06M152,P.S. 152 Dyckman Valley,,,0,,,,
269,06M153,P.S. 153 Adam Clayton Powell,,,0,,,,
270,06M173,P.S. 173,,,0,,,,
271,06M178,Professor Juan Bosch Public School,,,0,,,,
272,06M187,P.S./I.S. 187 Hudson Cliffs,98,254,259,7.1,6.6,7.2,7.8
273,06M189,P.S. 189,,,0,,,,
274,06M192,P.S. 192 Jacob H. Schiff,,,0,,,,
275,06M210,P.S./I.S. 210 - Twenty-first Century Academy for,99,142,143,7.6,6.4,7.7,8.1
276,06M218,I.S. 218 Salome Urena,88,311,355,7,6.4,7,7.6
277,06M223,The Mott Hall School,99,373,377,7.1,5.9,6.9,8.1
278,06M278,Paula Hedbavny School,100,192,192,7.5,6.4,7.8,8.5
279,06M293,City College Academy of the Arts,87,441,507,7.8,6.9,7.7,8.3
280,06M311,Amistad Dual Language School,100,128,128,7.2,6.1,7.1,7.6
281,06M314,Muscota,,,0,,,,
282,06M319,M.S. 319 - Maria Teresa,96,536,556,7.8,7.5,7.9,8.4
283,06M321,M.S. 321 - Minerva,99,89,90,9.3,8,9.2,9.4
284,06M322,Middle School 322,86,410,475,6.7,6.3,6.8,7.6
285,06M324,M.S. 324 - Patria Mirabal,99,409,413,7.7,6.7,7.7,8
286,06M325,P.S. 325,,,0,,,,
287,06M326,M.S. 326 - Writers Today & Leaders Tomorrow,95,343,362,7.3,7.2,7.9,8.4
288,06M328,M.S. 328 - Manhattan Middle School for Scientific,92,409,445,8.7,8,8.9,9
289,06M346,Community Health Academy of the Heights,94,426,452,6.4,6,6.5,7.3
290,06M348,Washington Heights Expeditionary Learning School,94,487,520,7.5,6.9,7.1,8.2
291,06M349,Harbor Heights,99,157,159,8.1,7.2,8.3,8.6
292,06M366,Washington Heights Academy,,,0,,,,
293,06M368,Hamilton Heights School,,,0,,,,
294,06M423,High School for Excellence and Innovation,90,114,126,7.6,6.2,6.5,7.6
295,06M457,George Washington Yabc,63,132,210,8.5,7,8,8.5
296,06M462,High School for International Business and Finance,81,482,597,7.1,6.3,6.8,7.2
297,06M463,High School for Media and Communications,84,446,534,6.4,5.7,6.2,7.2
298,06M467,High School for Law and Public Service,74,451,612,6.5,6,6.6,7.4
299,06M468,High School for Health Careers and Sciences,92,625,679,6.4,5.8,6.5,7.2
300,06M528,I.S. 528 Bea Fuller Rodgers School,95,252,266,6.9,6.3,7.2,7.6
301,06M540,A. Philip Randolph Campus High School,66,945,1424,6.1,5.5,6.1,7
302,06M552,Gregorio Luperon High School for Science and Mathe,88,406,461,7.7,6.2,7,7.7
303,07X001,P.S. 001 Courtlandt School,,,0,,,,
304,07X005,P.S. 005 Port Morris,,,0,,,,
305,07X018,P.S. 018 John Peter Zenger,,,0,,,,
306,07X025,P.S. 025 Bilingual School,,,0,,,,
307,07X029,P.S./M.S. 029 Melrose School,96,240,250,6.3,6.2,6.9,7.4
308,07X030,P.S. 030 Wilton,,,0,,,,
309,07X031,P.S./M.S. 031 The William Lloyd Garrison,96,220,230,6.3,6.2,6.9,7.5
310,07X043,P.S. 043 Jonas Bronck,,,0,,,,
311,07X049,P.S. 049 Willis Avenue,,,0,,,,
312,07X065,P.S. 065 Mother Hale Academy,,,0,,,,
313,07X151,J.H.S. 151 Lou Gehrig,74,206,278,6.7,6.2,7.1,7.8
314,07X154,P.S. 154 Jonathan D. Hyatt,,,0,,,,
315,07X157,P.S. 157 Grove Hill,,,0,,,,
316,07X161,P.S. 161 Ponce De Leon,,,0,,,,
317,07X162,J.H.S. 162 Lola Rodriguez De Tio,82,587,715,5.9,6.2,6.5,7.3
318,07X179,P.S. 179,,,0,,,,
319,07X203,M.S. 203,78,221,283,6.1,5.7,6.7,7.3
320,07X221,South Bronx Preparatory: A College Board School,82,472,579,7.1,6.7,6.8,7.8
321,07X223,M.S. 223 The Laboratory School of Finance and Tech,93,447,482,7.3,6.7,7.6,8.2
